Time,997_OFFICE_1_CORE:WILLOW GROVE NAS ANN HTG 99.6% CONDNS DB:Des Heat Load [W],997_OFFICE_1_CORE:WILLOW GROVE NAS ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],997_OFFICE_1_CORE:WILLOW GROVE NAS ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],997_OFFICE_1_CORE:WILLOW GROVE NAS ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],997_OFFICE_1_EAST PERIMETER:WILLOW GROVE NAS ANN HTG 99.6% CONDNS DB:Des Heat Load [W],997_OFFICE_1_EAST PERIMETER:WILLOW GROVE NAS ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],997_OFFICE_1_EAST PERIMETER:WILLOW GROVE NAS ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],997_OFFICE_1_EAST PERIMETER:WILLOW GROVE NAS ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],997_OFFICE_1_NORTH PERIMETER:WILLOW GROVE NAS ANN HTG 99.6% CONDNS DB:Des Heat Load [W],997_OFFICE_1_NORTH PERIMETER:WILLOW GROVE NAS ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],997_OFFICE_1_NORTH PERIMETER:WILLOW GROVE NAS ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],997_OFFICE_1_NORTH PERIMETER:WILLOW GROVE NAS ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],997_OFFICE_1_SOUTH PERIMETER:WILLOW GROVE NAS ANN HTG 99.6% CONDNS DB:Des Heat Load [W],997_OFFICE_1_SOUTH PERIMETER:WILLOW GROVE NAS ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],997_OFFICE_1_SOUTH PERIMETER:WILLOW GROVE NAS ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],997_OFFICE_1_SOUTH PERIMETER:WILLOW GROVE NAS ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],997_OFFICE_1_WEST PERIMETER:WILLOW GROVE NAS ANN HTG 99.6% CONDNS DB:Des Heat Load [W],997_OFFICE_1_WEST PERIMETER:WILLOW GROVE NAS ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],997_OFFICE_1_WEST PERIMETER:WILLOW GROVE NAS ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],997_OFFICE_1_WEST PERIMETER:WILLOW GROVE NAS ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],997_OFFICE_2_CORE:WILLOW GROVE NAS ANN HTG 99.6% CONDNS DB:Des Heat Load [W],997_OFFICE_2_CORE:WILLOW GROVE NAS ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],997_OFFICE_2_CORE:WILLOW GROVE NAS ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],997_OFFICE_2_CORE:WILLOW GROVE NAS ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],997_OFFICE_2_EAST PERIMETER:WILLOW GROVE NAS ANN HTG 99.6% CONDNS DB:Des Heat Load [W],997_OFFICE_2_EAST PERIMETER:WILLOW GROVE NAS ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],997_OFFICE_2_EAST PERIMETER:WILLOW GROVE NAS ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],997_OFFICE_2_EAST PERIMETER:WILLOW GROVE NAS ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],997_OFFICE_2_NORTH PERIMETER:WILLOW GROVE NAS ANN HTG 99.6% CONDNS DB:Des Heat Load [W],997_OFFICE_2_NORTH PERIMETER:WILLOW GROVE NAS ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],997_OFFICE_2_NORTH PERIMETER:WILLOW GROVE NAS ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],997_OFFICE_2_NORTH PERIMETER:WILLOW GROVE NAS ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],997_OFFICE_2_SOUTH PERIMETER:WILLOW GROVE NAS ANN HTG 99.6% CONDNS DB:Des Heat Load [W],997_OFFICE_2_SOUTH PERIMETER:WILLOW GROVE NAS ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],997_OFFICE_2_SOUTH PERIMETER:WILLOW GROVE NAS ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],997_OFFICE_2_SOUTH PERIMETER:WILLOW GROVE NAS ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],997_OFFICE_2_WEST PERIMETER:WILLOW GROVE NAS ANN HTG 99.6% CONDNS DB:Des Heat Load [W],997_OFFICE_2_WEST PERIMETER:WILLOW GROVE NAS ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],997_OFFICE_2_WEST PERIMETER:WILLOW GROVE NAS ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],997_OFFICE_2_WEST PERIMETER:WILLOW GROVE NAS ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],997_OFFICE_3_CORE:WILLOW GROVE NAS ANN HTG 99.6% CONDNS DB:Des Heat Load [W],997_OFFICE_3_CORE:WILLOW GROVE NAS ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],997_OFFICE_3_CORE:WILLOW GROVE NAS ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],997_OFFICE_3_CORE:WILLOW GROVE NAS ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],997_OFFICE_3_EAST PERIMETER:WILLOW GROVE NAS ANN HTG 99.6% CONDNS DB:Des Heat Load [W],997_OFFICE_3_EAST PERIMETER:WILLOW GROVE NAS ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],997_OFFICE_3_EAST PERIMETER:WILLOW GROVE NAS ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],997_OFFICE_3_EAST PERIMETER:WILLOW GROVE NAS ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],997_OFFICE_3_NORTH PERIMETER:WILLOW GROVE NAS ANN HTG 99.6% CONDNS DB:Des Heat Load [W],997_OFFICE_3_NORTH PERIMETER:WILLOW GROVE NAS ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],997_OFFICE_3_NORTH PERIMETER:WILLOW GROVE NAS ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],997_OFFICE_3_NORTH PERIMETER:WILLOW GROVE NAS ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],997_OFFICE_3_SOUTH PERIMETER:WILLOW GROVE NAS ANN HTG 99.6% CONDNS DB:Des Heat Load [W],997_OFFICE_3_SOUTH PERIMETER:WILLOW GROVE NAS ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],997_OFFICE_3_SOUTH PERIMETER:WILLOW GROVE NAS ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],997_OFFICE_3_SOUTH PERIMETER:WILLOW GROVE NAS ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],997_OFFICE_3_WEST PERIMETER:WILLOW GROVE NAS ANN HTG 99.6% CONDNS DB:Des Heat Load [W],997_OFFICE_3_WEST PERIMETER:WILLOW GROVE NAS ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],997_OFFICE_3_WEST PERIMETER:WILLOW GROVE NAS ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],997_OFFICE_3_WEST PERIMETER:WILLOW GROVE NAS ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:10:00,0.000000E+00,2.301067E+04,0.000000E+00,1.775293E+00,9.080134E+03,1.296847E+03,3.647789E-01,1.000709E-01,2.422885E+04,4.762691E+03,9.733834E-01,3.675153E-01,2.425134E+04,5.733028E+03,9.742868E-01,4.424036E-01,8.821521E+03,1.301533E+03,3.543913E-01,1.004313E-01,0.000000E+00,2.888538E+04,0.000000E+00,2.228536E+00,9.610937E+03,1.383650E+03,3.861021E-01,1.067703E-01,2.569916E+04,4.644631E+03,1.032451E+00,3.584062E-01,2.582057E+04,5.766564E+03,1.037328E+00,4.449906E-01,9.654825E+03,1.262808E+03,3.878651E-01,9.744344E-02,8.871524E+04,2.669963E+04,3.564170E+00,2.060361E+00,1.609071E+04,1.225704E+03,6.462174E-01,9.458597E-02,4.521414E+04,4.028301E+03,1.815879E+00,3.108626E-01,4.539467E+04,4.848438E+03,1.823129E+00,3.741627E-01,1.615543E+04,1.153092E+03,6.488162E-01,8.898183E-02
00:20:00,0.000000E+00,2.301462E+04,0.000000E+00,1.775592E+00,9.127086E+03,1.265463E+03,3.666629E-01,9.764969E-02,2.434349E+04,4.666611E+03,9.779832E-01,3.601033E-01,2.436613E+04,5.618221E+03,9.788927E-01,4.335469E-01,8.868532E+03,1.269326E+03,3.562778E-01,9.794645E-02,0.000000E+00,2.885192E+04,0.000000E+00,2.225946E+00,9.675406E+03,1.350906E+03,3.886898E-01,1.042441E-01,2.586549E+04,4.543311E+03,1.039127E+00,3.505896E-01,2.598722E+04,5.640077E+03,1.044017E+00,4.352320E-01,9.719374E+03,1.230127E+03,3.904560E-01,9.492195E-02,8.943078E+04,2.635495E+04,3.592895E+00,2.033774E+00,1.619982E+04,1.176853E+03,6.505951E-01,9.081613E-02,4.551175E+04,3.884622E+03,1.827820E+00,2.997748E-01,4.569193E+04,4.685015E+03,1.835056E+00,3.615508E-01,1.626438E+04,1.106548E+03,6.531877E-01,8.539000E-02
00:30:00,0.000000E+00,2.300916E+04,0.000000E+00,1.775166E+00,9.169925E+03,1.233474E+03,3.683831E-01,9.518143E-02,2.445030E+04,4.568591E+03,9.822713E-01,3.525406E-01,2.447307E+04,5.502650E+03,9.831862E-01,4.246300E-01,8.911416E+03,1.236145E+03,3.579998E-01,9.538621E-02,0.000000E+00,2.881214E+04,0.000000E+00,2.222868E+00,9.734041E+03,1.317321E+03,3.910446E-01,1.016528E-01,2.601961E+04,4.439909E+03,1.045316E+00,3.426115E-01,2.614160E+04,5.510737E+03,1.050216E+00,4.252523E-01,9.778072E+03,1.196167E+03,3.928133E-01,9.230160E-02,9.004616E+04,2.599088E+04,3.617606E+00,2.005687E+00,1.629138E+04,1.126451E+03,6.542727E-01,8.692640E-02,4.576287E+04,3.736931E+03,1.837906E+00,2.883764E-01,4.594272E+04,4.514581E+03,1.845128E+00,3.483969E-01,1.635580E+04,1.058366E+03,6.568593E-01,8.167160E-02
00:40:00,0.000000E+00,2.299677E+04,0.000000E+00,1.774205E+00,9.208263E+03,1.201015E+03,3.699229E-01,9.267682E-02,2.454715E+04,4.469603E+03,9.861609E-01,3.449026E-01,2.457004E+04,5.386987E+03,9.870806E-01,4.157051E-01,8.949794E+03,1.202420E+03,3.595411E-01,9.278386E-02,0.000000E+00,2.876807E+04,0.000000E+00,2.219461E+00,9.787659E+03,1.283296E+03,3.931983E-01,9.902731E-02,2.616244E+04,4.335585E+03,1.051053E+00,3.345617E-01,2.628468E+04,5.380072E+03,1.055963E+00,4.151696E-01,9.831748E+03,1.161421E+03,3.949693E-01,8.962043E-02,9.056742E+04,2.561260E+04,3.638539E+00,1.976500E+00,1.636802E+04,1.075158E+03,6.573514E-01,8.296772E-02,4.597394E+04,3.585850E+03,1.846385E+00,2.767160E-01,4.615348E+04,4.339419E+03,1.853594E+00,3.348775E-01,1.643231E+04,1.009118E+03,6.599327E-01,7.787071E-02
00:50:00,0.000000E+00,2.297894E+04,0.000000E+00,1.772826E+00,9.243045E+03,1.168323E+03,3.713200E-01,9.015398E-02,2.463603E+04,4.370334E+03,9.897306E-01,3.372425E-01,2.465903E+04,5.271690E+03,9.906546E-01,4.068077E-01,8.984611E+03,1.168438E+03,3.609396E-01,9.016156E-02,0.000000E+00,2.872053E+04,0.000000E+00,2.215787E+00,9.837080E+03,1.248988E+03,3.951835E-01,9.637983E-02,2.629562E+04,4.231141E+03,1.056402E+00,3.265020E-01,2.641808E+04,5.249223E+03,1.061321E+00,4.050721E-01,9.881224E+03,1.126215E+03,3.969568E-01,8.690356E-02,9.101531E+04,2.522431E+04,3.656526E+00,1.946537E+00,1.643311E+04,1.023445E+03,6.599658E-01,7.897652E-02,4.615402E+04,3.432751E+03,1.853619E+00,2.648997E-01,4.633327E+04,4.161410E+03,1.860817E+00,3.211381E-01,1.649727E+04,9.591909E+02,6.625424E-01,7.401741E-02
01:00:00,0.000000E+00,2.295683E+04,0.000000E+00,1.771116E+00,9.274934E+03,1.135509E+03,3.726010E-01,8.762172E-02,2.471827E+04,4.271306E+03,9.930341E-01,3.296006E-01,2.474137E+04,5.157119E+03,9.939620E-01,3.979660E-01,9.016531E+03,1.134417E+03,3.622219E-01,8.753613E-02,0.000000E+00,2.867027E+04,0.000000E+00,2.211903E+00,9.883066E+03,1.214630E+03,3.970309E-01,9.372830E-02,2.642071E+04,4.127183E+03,1.061427E+00,3.184796E-01,2.654336E+04,5.119059E+03,1.066354E+00,3.950272E-01,9.927260E+03,1.090796E+03,3.988062E-01,8.417024E-02,9.140486E+04,2.482967E+04,3.672172E+00,1.916083E+00,1.648964E+04,9.717239E+02,6.622369E-01,7.498473E-02,4.631116E+04,3.279005E+03,1.859931E+00,2.530335E-01,4.649018E+04,3.982130E+03,1.867120E+00,3.073005E-01,1.655371E+04,9.089152E+02,6.648096E-01,7.013718E-02
01:10:00,0.000000E+00,2.299212E+04,0.000000E+00,1.773834E+00,9.306318E+03,1.106680E+03,3.738619E-01,8.539684E-02,2.480069E+04,4.185203E+03,9.963450E-01,3.229560E-01,2.482388E+04,5.055948E+03,9.972767E-01,3.901581E-01,9.047942E+03,1.104686E+03,3.634837E-01,8.524175E-02,0.000000E+00,2.866756E+04,0.000000E+00,2.211688E+00,9.926806E+03,1.184141E+03,3.987881E-01,9.137534E-02,2.654085E+04,4.035647E+03,1.066254E+00,3.114156E-01,2.666369E+04,5.001989E+03,1.071188E+00,3.859925E-01,9.971045E+03,1.059226E+03,4.005652E-01,8.173390E-02,9.175342E+04,2.448881E+04,3.686171E+00,1.889778E+00,1.653925E+04,9.245876E+02,6.642298E-01,7.134672E-02,4.644980E+04,3.138462E+03,1.865500E+00,2.421862E-01,4.662862E+04,3.815618E+03,1.872681E+00,2.944484E-01,1.660324E+04,8.627840E+02,6.667993E-01,6.657678E-02
01:20:00,0.000000E+00,2.302527E+04,0.000000E+00,1.776388E+00,9.335760E+03,1.078671E+03,3.750447E-01,8.323522E-02,2.487849E+04,4.102198E+03,9.994708E-01,3.165504E-01,2.490177E+04,4.958209E+03,1.000406E+00,3.826151E-01,9.077408E+03,1.076017E+03,3.646675E-01,8.302936E-02,0.000000E+00,2.866379E+04,0.000000E+00,2.211392E+00,9.968247E+03,1.154684E+03,4.004530E-01,8.910197E-02,2.665538E+04,3.947752E+03,1.070855E+00,3.046326E-01,2.677838E+04,4.889182E+03,1.075796E+00,3.772868E-01,1.001253E+04,1.028650E+03,4.022318E-01,7.937429E-02,9.206460E+04,2.415614E+04,3.698669E+00,1.864106E+00,1.658318E+04,8.791120E+02,6.659945E-01,6.783698E-02,4.657313E+04,3.002806E+03,1.870454E+00,2.317164E-01,4.675178E+04,3.653950E+03,1.877629E+00,2.819704E-01,1.664711E+04,8.177076E+02,6.685613E-01,6.309788E-02
01:30:00,0.000000E+00,2.305646E+04,0.000000E+00,1.778791E+00,9.363583E+03,1.051554E+03,3.761625E-01,8.114248E-02,2.495240E+04,4.022600E+03,1.002440E+00,3.104077E-01,2.497576E+04,4.864124E+03,1.003379E+00,3.753540E-01,9.105255E+03,1.048533E+03,3.657863E-01,8.090834E-02,0.000000E+00,2.865890E+04,0.000000E+00,2.211009E+00,1.000776E+04,1.126366E+03,4.020404E-01,8.691657E-02,2.676510E+04,3.863835E+03,1.075263E+00,2.981566E-01,2.688826E+04,4.780942E+03,1.080210E+00,3.689335E-01,1.005208E+04,9.992034E+02,4.038208E-01,7.710181E-02,9.234506E+04,2.383380E+04,3.709933E+00,1.839230E+00,1.662254E+04,8.355523E+02,6.675752E-01,6.447514E-02,4.668410E+04,2.872604E+03,1.874912E+00,2.216675E-01,4.686261E+04,3.498022E+03,1.882080E+00,2.699355E-01,1.668640E+04,7.737108E+02,6.701397E-01,5.970233E-02
01:40:00,0.000000E+00,2.308597E+04,0.000000E+00,1.781064E+00,9.390052E+03,1.025568E+03,3.772259E-01,7.913691E-02,2.502301E+04,3.946575E+03,1.005277E+00,3.045406E-01,2.504644E+04,4.773840E+03,1.006218E+00,3.683862E-01,9.131745E+03,1.022297E+03,3.668505E-01,7.888363E-02,0.000000E+00,2.865298E+04,0.000000E+00,2.210548E+00,1.004564E+04,1.099241E+03,4.035624E-01,8.482319E-02,2.687070E+04,3.784151E+03,1.079505E+00,2.920072E-01,2.699401E+04,4.677502E+03,1.084459E+00,3.609507E-01,1.009000E+04,9.709680E+02,4.053442E-01,7.492280E-02,9.259989E+04,2.352324E+04,3.720167E+00,1.815263E+00,1.665818E+04,7.939370E+02,6.690069E-01,6.126339E-02,4.678504E+04,2.748297E+03,1.878966E+00,2.120737E-01,4.696342E+04,3.348413E+03,1.886130E+00,2.583885E-01,1.672199E+04,7.308203E+02,6.715693E-01,5.639219E-02
