Time,AIRLOOP 493:DesPer 1:Des Heat Mass Flow [kg/s],AIRLOOP 493:DesPer 1:Des Heat Cap [W],AIRLOOP 493:DesPer 1:Des Cool Mass Flow [kg/s],AIRLOOP 493:DesPer 1:Des Sens Cool Cap [W],AIRLOOP 493:DesPer 1:Des Tot Cool Cap [W],AIRLOOP 493:DesPer 2:Des Heat Mass Flow [kg/s],AIRLOOP 493:DesPer 2:Des Heat Cap [W],AIRLOOP 493:DesPer 2:Des Cool Mass Flow [kg/s],AIRLOOP 493:DesPer 2:Des Sens Cool Cap [W],AIRLOOP 493:DesPer 2:Des Tot Cool Cap [W]
00:10:00,5.067099E+00,0.000000E+00,3.349621E+01,4.101344E+05,9.611283E+05,1.976131E+01,5.718909E+05,5.067099E+00,0.000000E+00,0.000000E+00
00:20:00,5.067099E+00,0.000000E+00,3.337511E+01,4.051302E+05,9.540354E+05,1.987739E+01,5.752501E+05,5.067099E+00,0.000000E+00,0.000000E+00
00:30:00,5.067099E+00,0.000000E+00,3.324895E+01,4.000906E+05,9.468245E+05,1.997906E+01,5.781927E+05,5.067099E+00,0.000000E+00,0.000000E+00
00:40:00,5.067099E+00,0.000000E+00,3.311933E+01,3.950365E+05,9.395429E+05,2.006742E+01,5.807498E+05,5.067099E+00,0.000000E+00,0.000000E+00
00:50:00,5.067099E+00,0.000000E+00,3.298755E+01,3.899841E+05,9.322278E+05,2.014529E+01,5.830031E+05,5.067099E+00,0.000000E+00,0.000000E+00
01:00:00,5.067099E+00,0.000000E+00,3.285470E+01,3.849470E+05,9.249118E+05,2.021495E+01,5.850190E+05,5.067099E+00,0.000000E+00,0.000000E+00
01:10:00,5.067099E+00,0.000000E+00,3.274499E+01,3.813583E+05,9.194569E+05,2.027924E+01,5.868798E+05,5.067099E+00,0.000000E+00,0.000000E+00
01:20:00,5.067099E+00,0.000000E+00,3.263860E+01,3.778235E+05,9.141104E+05,2.033810E+01,5.885832E+05,5.067099E+00,0.000000E+00,0.000000E+00
01:30:00,5.067099E+00,0.000000E+00,3.253591E+01,3.743462E+05,9.088831E+05,2.039249E+01,5.901572E+05,5.067099E+00,0.000000E+00,0.000000E+00
01:40:00,5.067099E+00,0.000000E+00,3.243731E+01,3.709301E+05,9.037840E+05,2.044316E+01,5.916237E+05,5.067099E+00,0.000000E+00,0.000000E+00
01:50:00,5.067099E+00,0.000000E+00,3.234316E+01,3.675784E+05,8.988228E+05,2.049071E+01,5.929997E+05,5.067099E+00,0.000000E+00,0.000000E+00
02:00:00,5.067099E+00,0.000000E+00,3.225363E+01,3.642922E+05,8.940040E+05,2.053555E+01,5.942974E+05,5.067099E+00,0.000000E+00,0.000000E+00
02:10:00,5.067099E+00,0.000000E+00,3.216647E+01,3.616108E+05,8.898441E+05,2.057798E+01,5.955252E+05,5.067099E+00,0.000000E+00,0.000000E+00
02:20:00,5.067099E+00,0.000000E+00,3.208184E+01,3.589670E+05,8.857644E+05,2.061851E+01,5.966982E+05,5.067099E+00,0.000000E+00,0.000000E+00
02:30:00,5.067099E+00,0.000000E+00,3.200001E+01,3.563632E+05,8.817703E+05,2.065739E+01,5.978233E+05,5.067099E+00,0.000000E+00,0.000000E+00
